customer_id,recency,frequency,monetary,RF_SCORE,RFM_SCORE,segment
cc294636-19f0-11eb-8d74-000d3a38a36f,95.0,5.0,939.37,34,344,loyal_customers
f431bd5a-ab7b-11e9-a2fc-000d3a38a36f,105.0,21.0,2013.55,35,355,loyal_customers
69b69676-1a40-11ea-941b-000d3a38a36f,186.0,5.0,585.32,24,243,at_Risk
1854e56c-491f-11eb-806e-000d3a38a36f,135.0,2.0,121.97,31,311,about_to_sleep
d6ea1074-f1f5-11e9-9346-000d3a38a36f,86.0,2.0,209.98000000000002,31,311,about_to_sleep
e585280e-aae1-11e9-a2fc-000d3a38a36f,80.0,3.0,200.86,42,421,potential_loyalists
c445e4ee-6242-11ea-9d1a-000d3a38a36f,226.0,4.0,375.93,23,232,at_Risk
3f1b4dc8-8a7d-11ea-8ec0-000d3a38a36f,293.0,2.0,163.63,11,111,hibernating
cfbda69e-5b4f-11ea-aca7-000d3a38a36f,86.0,5.0,1054.69,34,345,loyal_customers
1143f032-440d-11ea-8b43-000d3a38a36f,240.0,2.0,165.96,11,111,hibernating
ae608ece-c9d8-11ea-a31e-000d3a38a36f,311.0,2.0,114.97999999999999,11,111,hibernating
c2e15af2-9eed-11e9-9897-000d3a38a36f,13.0,20.0,2861.6,55,555,champions
2854f11a-0185-11ea-a5e8-000d3a38a36f,48.0,4.0,312.45,43,432,potential_loyalists
ec6c382a-3e97-11ea-a823-000d3a38a36f,147.0,4.0,557.79,23,233,at_Risk
241f0ad0-afb5-11e9-9757-000d3a38a36f,2.0,24.0,4413.29,55,555,champions
13ed97a4-b167-11e9-89fa-000d3a38a36f,288.0,8.0,932.36,15,154,cant_loose
d9b77226-a509-11e9-a2fc-000d3a38a36f,202.0,5.0,495.25,24,243,at_Risk
efb82ba4-aaba-11e9-a2fc-000d3a38a36f,132.0,4.0,888.86,33,334,need_attention
1ee5ae66-7237-11eb-aa44-000d3a38a36f,51.0,2.0,267.12,41,411,promising
2730793e-3908-11ea-85d6-000d3a38a36f,347.0,2.0,314.98,11,112,hibernating
4da5c2ba-403b-11ea-aa6b-000d3a38a36f,128.0,2.0,109.97,31,311,about_to_sleep
7b289956-d691-11e9-93bc-000d3a38a36f,187.0,3.0,730.67,22,224,hibernating
1a9b39d8-40ac-11ea-9be8-000d3a38a36f,366.0,2.0,219.97,11,111,hibernating
4fbb0cbe-9085-11ea-af25-000d3a38a36f,123.0,2.0,242.45,31,311,about_to_sleep
d1fabf76-7171-11eb-a3e2-000d3a38a36f,29.0,4.0,1106.56,53,535,potential_loyalists
6ff327d4-b0e1-11e9-9757-000d3a38a36f,133.0,3.0,347.45,32,322,about_to_sleep
7e7732ae-2d78-11eb-8062-000d3a299ebf,56.0,2.0,532.31,41,413,promising
c1f8f878-9f35-11e9-9897-000d3a38a36f,92.0,4.0,130.87,33,331,need_attention
5e1830d8-9e24-11e9-9897-000d3a38a36f,144.0,3.0,468.47,32,323,about_to_sleep
a46cc34a-a19f-11e9-a2fc-000d3a38a36f,184.0,2.0,175.98,21,211,hibernating
1618f596-130a-11ea-a001-000d3a38a36f,51.0,5.0,832.8199999999999,44,444,loyal_customers
c864868a-5134-11ea-99ba-000d3a38a36f,245.0,3.0,526.95,12,123,hibernating
57b22f66-d6a3-11e9-93bc-000d3a38a36f,105.0,5.0,737.44,34,344,loyal_customers
fb840306-1219-11ea-a001-000d3a38a36f,116.0,8.0,923.64,35,354,loyal_customers
1acf7870-87af-11ea-ace9-000d3a38a36f,103.0,2.0,298.09000000000003,31,311,about_to_sleep
7a52fd46-5be8-11ea-a7c9-000d3a38a36f,326.0,2.0,135.48,11,111,hibernating
196e721a-d6d9-11e9-93bc-000d3a38a36f,294.0,2.0,129.98,11,111,hibernating
3551e96c-5b40-11ea-8e0b-000d3a38a36f,90.0,3.0,714.8900000000001,32,324,about_to_sleep
80c89c7a-d6dd-11e9-93bc-000d3a38a36f,131.0,2.0,340.9,31,312,about_to_sleep
280cd78c-f324-11e9-9346-000d3a38a36f,158.0,5.0,526.87,24,243,at_Risk
6e47c6c2-4f49-11ea-99ba-000d3a38a36f,187.0,6.0,1099.8899999999999,24,245,at_Risk
6a46e618-16f8-11ea-b4ec-000d3a38a36f,322.0,15.0,2930.34,15,155,cant_loose
1e6a5e78-7a8a-11ea-8f20-000d3a38a36f,99.0,5.0,655.4300000000001,34,343,loyal_customers
6e19617c-f068-11ea-bde9-000d3a38a36f,41.0,2.0,314.93,41,412,promising
a9acbdcc-a872-11e9-a2fc-000d3a38a36f,303.0,5.0,791.69,14,144,at_Risk
d45e704c-b13c-11e9-9757-000d3a38a36f,335.0,3.0,1095.39,12,125,hibernating
45b1d028-1da7-11ea-8bf2-000d3a38a36f,279.0,2.0,275.46,11,111,hibernating
09797cba-5b4a-11ea-8975-000d3a38a36f,35.0,4.0,869.9300000000001,43,434,potential_loyalists
1eb32dea-a409-11e9-a2fc-000d3a38a36f,162.0,3.0,271.96999999999997,22,221,hibernating
6925c836-ab8b-11e9-a2fc-000d3a38a36f,40.0,6.0,740.53,44,444,loyal_customers
c109302c-f72c-11ea-a533-000d3a38a36f,168.0,3.0,1447.99,22,225,hibernating
c7cd4332-20bb-11ea-97c9-000d3a38a36f,33.0,4.0,538.61,53,533,potential_loyalists
d875bb04-4539-11ea-acaf-000d3a38a36f,104.0,7.0,865.89,34,344,loyal_customers
cc7a587e-3110-11ea-b884-000d3a38a36f,29.0,3.0,178.47,52,521,potential_loyalists
e7fa4114-e7cc-11e9-8bb8-000d3a38a36f,293.0,6.0,404.93,14,142,at_Risk
59fe5f5c-b1c2-11e9-89fa-000d3a38a36f,95.0,2.0,689.88,31,314,about_to_sleep
